instance,size,graph,ignition_node,OFV,LB,BurnedNodes,NodeCount,SolCount,Runime,TotalTime
1,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999996,25.0,94.0,5,1.7819199562072754,2.421888828277588
1,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999996,25.0,94.0,5,1.7819199562072754,2.421888828277588
2,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999986,25.0,1.0,4,0.6222128868103027,1.5376672744750977
3,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999986,25.0,1.0,5,0.7969479560852051,1.717824935913086
4,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999982,25.0,1.0,7,1.1614229679107666,2.071323871612549
5,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.99999999999998,25.0,1.0,6,1.0258350372314453,1.699103832244873
6,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.999999999999996,25.0,1.0,4,0.6557719707489014,1.4743659496307373
7,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",25.999999999999996,25.99999999999998,25.0,1.0,3,0.6905398368835449,1.4747650623321533
8,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",26.999999999999996,26.999999999999982,26.0,1.0,3,0.44672513008117676,1.3167011737823486
9,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",44.000000000000014,44.000000000000014,43.0,1859.0,10,29.040884971618652,33.007203817367554
10,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",48.000000000000014,48.000000000000014,47.0,510.0,8,28.49899911880493,33.72657489776611
11,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",44.000000000000014,44.000000000000014,43.0,1790.0,7,38.45964193344116,44.745360136032104
12,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",56.000000000000014,56.000000000000014,55.0,405.0,8,16.14427399635315,21.95806312561035
13,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",54.000000000000014,54.000000000000014,53.0,821.0,8,21.652622938156128,26.17987608909607
14,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",55.000000000000014,54.99999999999993,54.0,526.0,6,26.027631998062134,33.484577894210815
15,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",63.000000000000014,63.000000000000014,62.0,194.0,7,17.389684915542603,22.339035987854004
16,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",64.00000000000001,63.99999999999998,63.0,937.0,2,53.14505887031555,57.50696802139282
17,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",46.000000000000014,46.000000000000014,45.0,42873.0,1,1334.4944961071014,1533.6529479026794
18,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",64.00000000000001,64.0,63.0,162459.0,1,2887.07847905159,3036.1487789154053
19,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",55.000000000000014,55.000000000000014,54.0,36097.0,1,1500.1970660686493,1663.8642439842224
20,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",94.00000000000001,93.99999899999847,93.0,64966.0,1,1743.4766499996185,1925.0410170555115
21,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",,55.0000000000001,,114914.0,0,7200.023948907852,7337.660851240158
22,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",95.00000000000001,94.9999999400002,94.0,70674.0,1,2051.0690879821777,2224.2120010852814
23,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",77.00000000000001,77.00000000000001,76.0,69092.0,1,1443.0177011489868,1580.3462681770325
24,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",124.00000000000001,124.00000000000001,123.0,190152.0,1,2973.3096380233765,3116.8907330036163
25,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,44.00000000000002,,20759.0,0,7200.027400016785,8902.989362001419
26,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,56.00000000000007,,18219.0,0,7200.043005943298,9005.882323980331
27,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,42.00000000000003,,14340.0,0,7200.104117870331,8904.112161874771
28,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,88.0,,19835.0,0,7200.026164054871,9022.640990972519
29,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,51.00000000000048,,7515.0,0,7200.056756973267,8898.417357206345
30,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,101.0,,4555.0,0,7200.187338113785,9005.507405042648
31,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,76.0,,7640.0,0,7200.062026023865,8887.059231042862
32,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,118.0,,22744.0,0,7200.023665904999,12329.229355096817
